Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2023-12-03,15:09:53.140,-39,0,100,14,0,5,25,-27,100,14,-54.604172 11.022664,3.3,177.1,0,12,11.9,1.2,639,77,-0.3,-0.1,-0.34,OK,0.0,-2,0,-1024,-2,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:53.490,-37,0,100,14,0,5,25,-39,100,14,-59.004798 -12.059400,3.3,177.1,0,12,11.9,1.2,639,77,-0.3,-0.1,-0.34,OK,0.0,-1,0,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:53.990,-39,0,100,14,0,5,25,-31,100,14,-21.379313 76.504264,3.3,177.1,0,12,11.9,1.2,641,77,-0.3,-0.1,-0.34,OK,0.0,-1,-1,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:54.490,-41,0,100,14,0,5,25,-32,100,14,-60.611988 -107.879778,3.3,177.1,0,12,11.9,1.2,641,77,-0.3,-0.1,-0.34,OK,0.0,-5,0,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:54.990,-50,0,100,14,0,5,25,-35,100,15,49.591623 33.957696,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,OK,0.0,-1,0,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:55.490,-47,0,100,14,0,5,25,-32,100,15,-26.146249 -47.622245,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,OK,0.0,-1,0,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:55.990,-47,0,100,14,0,5,25,-37,100,14,-31.761431 -135.462643,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,ANGL,0.0,-1,0,-1024,-1,160,571,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:56.490,-40,0,100,14,0,5,25,-34,100,15,-42.773272 132.324239,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,ANGL,0.1,-1,0,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:56.990,-38,0,100,14,0,5,25,-28,100,14,-22.135861 34.673389,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,ANGL,0.1,-1,-1,-1024,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,988,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:57.490,-39,0,100,14,0,5,25,-47,100,14,32.473134 -43.630401,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,ANGL,0.1,0,0,-856,-1,160,571,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1072,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:57.990,-43,0,100,14,0,5,25,-25,100,14,-12.784327 -162.885314,3.3,177.1,0,12,11.9,1.2,641,77,0.06,0.16,1.71,ANGL,0.1,0,0,-632,-1,160,571,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1184,1500,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2023-12-03,15:09:58.490,-39,0,100,14,0,5,25,-25,100,15,-81.121382 5.940436,6.3,161.0,0,12,11.9,1.2,641,77,0.06,0.16,1.71,ANGL,0.1,-36,-1,-885,-1,160,570,-1,1,0,-1,-1,1,-1,-1,0x0000000000000000,1500,1500,1058,1492,2012,988,2012,1500,988,988,1580,988,988,1785,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
